414 534 400 147 all all 404 279 all all all all 480 360 
all all all all all all all all all all all all 460 360 
all all all all all all all all all all all all 440 360 
all all all all all all all all all all all all 420 360 
all all all all all all all all all all all all 400 360 
all all all all all all all all all all all all 380 340 
all all all all all all all all all all all all 360 340 
all all all all all all all all all all all all 340 340 
all all all all all all all all all all all all 320 340 
all all all all all all all all all all all all 300 340 
all all all all all all all all all all all all 280 360 
all all all all all all all all all all all all 600 360 
all all all all all all all all all all all all 620 360 
all all all all all all all all all all all all 640 360 
all all all all all all all all all all all all 660 360 
all all all all all all all all all all all all 680 360 
all all all all all all all all all all all all 700 380 
